model_name,query_id,query_text,rank,retrieved_doc_id_internal,retrieved_original_ticket_id,retrieved_subject,score,is_self_retrieval
all-MiniLM-L6-v2,157,Inconsistencies in investment analytics dashboard data,1,5435,5435,Problem with Investment Analytics Dashboard Data,0.92353916,False
all-MiniLM-L6-v2,157,Inconsistencies in investment analytics dashboard data,2,875,875,Problem with Data Consistency,0.90445995,False
all-MiniLM-L6-v2,157,Inconsistencies in investment analytics dashboard data,3,157,157,Problem with Data Accuracy in Investment Analytics Dashboard,0.9013145,True
all-MiniLM-L6-v2,448,"Integration issues between Smart-Gartenbewässerung, Slack and Elasticsearch",1,448,448,Smart Home Systems,0.814796,True
all-MiniLM-L6-v2,448,"Integration issues between Smart-Gartenbewässerung, Slack and Elasticsearch",2,453,453,Support for Smartsheet Elasticsearch Integration,0.6413063,False
all-MiniLM-L6-v2,448,"Integration issues between Smart-Gartenbewässerung, Slack and Elasticsearch",3,3134,3134,Support for Integrating Elasticsearch,0.5671212,False
all-MiniLM-L6-v2,636,Users experiencing occasional login difficulties on project platform,1,636,636,Login Issues on Project Platform,0.93287617,True
all-MiniLM-L6-v2,636,Users experiencing occasional login difficulties on project platform,2,10745,10745,Login Failure on Project Platform,0.8779417,False
all-MiniLM-L6-v2,636,Users experiencing occasional login difficulties on project platform,3,10193,10193,Occasional Login Issues Detected in Project Management System,0.8250898,False
all-MiniLM-L6-v2,674,Urgent data breach affecting medical records,1,3909,3909,Incident of Data Breach Impacting Medical Records Detected,0.8873717,False
all-MiniLM-L6-v2,674,Urgent data breach affecting medical records,2,5769,5769,Assistance Required for Data Breach,0.8769529,False
all-MiniLM-L6-v2,674,Urgent data breach affecting medical records,3,9845,9845,Concerning Incident Involving Data Compromise,0.8752208,False
all-MiniLM-L6-v2,689,Encryption failure due to software problems,1,8475,8475,Encryption failure occurred unexpectedly,0.85849583,False
all-MiniLM-L6-v2,689,Encryption failure due to software problems,2,1066,1066,Data encryption encountered an unexpected problem,0.8440583,False
all-MiniLM-L6-v2,689,Encryption failure due to software problems,3,689,689,Support Required for Data Encryption Malfunction,0.83939564,True
all-MiniLM-L6-v2,790,Digital strategies for brand expansion inquiry,1,6910,6910,Strategies for Expanding a Digital Brand,0.878476,False
