Ticket ID,subject,problem_text,answer,tags,powertoys_version,install_method,area,steps_to_reproduce,expected_behavior,actual_behavior,additional_info
40033,-,"Área: Settings. Problema: -. Comportamiento: _No response_. Pasos para reproducir: Version: 0.91.1.0
OS Version: Microsoft Windows NT 10.0.27871.0
IntPtr Length: 8
x64: True
Date: 2025/06/13 19:01:01
Exception:
System.Reflection.TargetInvocationException: Exception has been thrown by the target of an invocation.
 ---> System.Runtime.InteropServices.COMException (0x80263001): {已禁用桌面合成} 操作无法完成，因为已禁用桌面合成。 (0x80263001)
   at Standard.NativeMethods.DwmExtendFrameIntoClientArea(IntPtr hwnd, MARGINS& pMarInset)
   at System.Windows.Appearance.WindowBackdropManager.UpdateGlassFrame(IntPtr hwnd, WindowBackdropType backdropType)
   at System.Windows.Appearance.WindowBackdropManager.ApplyBackdrop(IntPtr hwnd, WindowBackdropType backdropType)
   at System.Windows.ThemeManager.OnApplicationThemeChanged(ThemeMode oldThemeMode, ThemeMode newThemeMode)
   at PowerLauncher.Helper.ThemeManager.SetSystemTheme(Theme theme)
   at System.Windows.Threading.Dispatcher.Invoke(Action callback, DispatcherPriority priority, CancellationToken cancellationToken, TimeSpan timeout)
   at PowerLauncher.Helper.ThemeManager.OnUserPreferenceChanged(Object sender, UserPreferenceChangedEventArgs e)
   at InvokeStub_UserPreferenceChangedEventHandler.Invoke(Object, Span`1)
   at System.Reflection.MethodBaseInvoker.InvokeWithFewArgs(Object obj, BindingFlags invokeAttr, Binder binder, Object[] parameters, CultureInfo culture)
   --- End of inner exception stack trace ---
   at System.Reflection.MethodBaseInvoker.InvokeWithFewArgs(Object obj, BindingFlags invokeAttr, Binder binder, Object[] parameters, CultureInfo culture)
   at System.Reflection.RuntimeMethodInfo.Invoke(Object obj, BindingFlags invokeAttr, Binder binder, Object[] parameters, CultureInfo culture)
   at System.Delegate.DynamicInvokeImpl(Object[] args)
   at Microsoft.Win32.SystemEvents.SystemEventInvokeInfo.InvokeCallback(Object arg)
   at System.Windows.Threading.ExceptionWrapper.InternalRealCall(Delegate callback, Object args, Int32 numArgs)
   at System.Windows.Threading.ExceptionWrapper.TryCatchWhen(Object source, Delegate callback, Object args, Int32 numArgs, Delegate catchHandler)",Reopening as we're still seeing reports :(,"Issue-Bug,Resolution-Duplicate",-,Microsoft Store,Settings,"Version: 0.91.1.0
OS Version: Microsoft Windows NT 10.0.27871.0
IntPtr Length: 8
x64: True
Date: 2025/06/13 19:01:01
Exception:
System.Reflection.TargetInvocationException: Exception has been thrown by the target of an invocation.
 ---> System.Runtime.InteropServices.COMException (0x80263001): {已禁用桌面合成} 操作无法完成，因为已禁用桌面合成。 (0x80263001)
   at Standard.NativeMethods.DwmExtendFrameIntoClientArea(IntPtr hwnd, MARGINS& pMarInset)
   at System.Windows.Appearance.WindowBackdropManager.UpdateGlassFrame(IntPtr hwnd, WindowBackdropType backdropType)
   at System.Windows.Appearance.WindowBackdropManager.ApplyBackdrop(IntPtr hwnd, WindowBackdropType backdropType)
   at System.Windows.ThemeManager.OnApplicationThemeChanged(ThemeMode oldThemeMode, ThemeMode newThemeMode)
   at PowerLauncher.Helper.ThemeManager.SetSystemTheme(Theme theme)
   at System.Windows.Threading.Dispatcher.Invoke(Action callback, DispatcherPriority priority, CancellationToken cancellationToken, TimeSpan timeout)
   at PowerLauncher.Helper.ThemeManager.OnUserPreferenceChanged(Object sender, UserPreferenceChangedEventArgs e)
   at InvokeStub_UserPreferenceChangedEventHandler.Invoke(Object, Span`1)
   at System.Reflection.MethodBaseInvoker.InvokeWithFewArgs(Object obj, BindingFlags invokeAttr, Binder binder, Object[] parameters, CultureInfo culture)
   --- End of inner exception stack trace ---
   at System.Reflection.MethodBaseInvoker.InvokeWithFewArgs(Object obj, BindingFlags invokeAttr, Binder binder, Object[] parameters, CultureInfo culture)
   at System.Reflection.RuntimeMethodInfo.Invoke(Object obj, BindingFlags invokeAttr, Binder binder, Object[] parameters, CultureInfo culture)
   at System.Delegate.DynamicInvokeImpl(Object[] args)
   at Microsoft.Win32.SystemEvents.SystemEventInvokeInfo.InvokeCallback(Object arg)
   at System.Windows.Threading.ExceptionWrapper.InternalRealCall(Delegate callback, Object args, Int32 numArgs)
   at System.Windows.Threading.ExceptionWrapper.TryCatchWhen(Object source, Delegate callback, Object args, Int32 numArgs, Delegate catchHandler)",_No response_,_No response_,_No response_
39968,Conflict with PowerToys run keyboard shortcut,Área: PowerToys Run. Problema: Conflict with PowerToys run keyboard shortcut. Comportamiento: _No response_. Pasos para reproducir: The shortcut for powertoys run (alt + space) conflicts with copilot shortcut !!!,"You are always free to change the keyboard shortcuts to whatever you want. You'll find there are lots of apps with keyboard shortcuts which conflict with one another. It's impossible for everyone to pick unique values. 

That's why it's always important to give users settings to control things like this. ","Issue-Bug,Needs-Triage",v0.91.1,PowerToys auto-update,PowerToys Run,The shortcut for powertoys run (alt + space) conflicts with copilot shortcut !!!,change the default keys for both applications.,_No response_,_No response_
39954,Command Palette auto starts when disabled,"Área: Command Palette. Problema: Command Palette auto starts when disabled. Comportamiento: Auto-starts with Windows.. Pasos para reproducir: Disable Command Palette under the dashboard and then restart the computer. Command palette auto-starts even though it's disabled. To get it to go away, toggle the switch in the dashboard, and it closes.","PowerToys is still set to start on login, right? 

In 0.1 we decided that since CmdPal is just a part of PowerToys, we'll just use PT's startup task, rather than our own. 

You should be able to disable the CmdPal module within PT's settings, and that should prevent it from launching when PowerToys does.","Issue-Bug,Needs-Triage",0.91.1,PowerToys auto-update,Command Palette,"Disable Command Palette under the dashboard and then restart the computer. Command palette auto-starts even though it's disabled. To get it to go away, toggle the switch in the dashboard, and it closes.",Command Palette doesn't launch since it's disabled,Auto-starts with Windows.,_No response_
39924,PowerToys Run ran into an issue (while PC unattended overnight),"Área: General. Problema: PowerToys Run ran into an issue (while PC unattended overnight). Comportamiento: _No response_. Pasos para reproducir: I've not tried to reproduce the error as it happened while I was away from my PC overnight, so I'm not sure what was happening at the time (the PC was not in use by anyone at the time).","@cinnamon-msft you think this thing I fixed in Terminal would fix the same thing here?

https://github.com/microsoft/terminal/pull/3460

That was literally three children ago, so I don't remember the details, but that _looks_ similar","Issue-Bug,Resolution-Duplicate",0.87.1.0,Microsoft Store,General,"I've not tried to reproduce the error as it happened while I was away from my PC overnight, so I'm not sure what was happening at the time (the PC was not in use by anyone at the time).",_No response_,_No response_,"Version: 0.87.1.0
OS Version: Microsoft Windows NT 10.0.26100.0 (running as local admin)
IntPtr Length: 8
x64: True
Date: 6/06/2025 03:13:40
Exception:
System.Runtime.InteropServices.COMException (0xD0000701): 0xD0000701
   at Standard.NativeMethods.DwmExtendFrameIntoClientArea(IntPtr hwnd, MARGINS& pMarInset)
   at System.Windows.Appearance.WindowBackdropManager.UpdateGlassFrame(IntPtr hwnd, WindowBackdropType backdropType)
   at System.Windows.Appearance.WindowBackdropManager.ApplyBackdrop(IntPtr hwnd, WindowBackdropType backdropType)
   at System.Windows.ThemeManager.OnSystemThemeChanged()
   at System.Windows.SystemResources.SystemThemeFilterMessage(IntPtr hwnd, Int32 msg, IntPtr wParam, IntPtr lParam, Boolean& handled)
   at System.Windows.Threading.ExceptionWrapper.InternalRealCall(Delegate callback, Object args, Int32 numArgs)
   at System.Windows.Threading.ExceptionWrapper.TryCatchWhen(Object source, Delegate callback, Object args, Int32 numArgs, Delegate catchHandler)

Attaching log file and screen shot of error message.

[2025-06-06.txt](https://github.com/user-attachments/files/20619831/2025-06-06.txt)

![Image](https://github.com/user-attachments/assets/5b592083-0903-49df-84d0-2fd5331923b4)"
39904,Not sure what happened,"Área: General. Problema: Not sure what happened. Comportamiento: [2025-06-03.txt](https://github.com/user-attachments/files/20591294/2025-06-03.txt). Pasos para reproducir: I have no clue what happened, only reporting just for the sake of the crash, feel free to close if not felt relevant!

All I remember is turning on my laptop, logging in, then plug in an external monitor (which defaults to secondary monitor only), so my laptop screen turned off. The crash appeared when the monitor started to display. It is perfectly possible that this wasn't related and it was just that I saw the crash window on the secondary display.","@cinnamon-msft you think this thing I fixed in Terminal would fix the same thing here?

https://github.com/microsoft/terminal/pull/3460

That was literally three children ago, so I don't remember the details, but that _looks_ similar","Issue-Bug,Resolution-Duplicate",0.87.0.0,Microsoft Store,General,"I have no clue what happened, only reporting just for the sake of the crash, feel free to close if not felt relevant!

All I remember is turning on my laptop, logging in, then plug in an external monitor (which defaults to secondary monitor only), so my laptop screen turned off. The crash appeared when the monitor started to display. It is perfectly possible that this wasn't related and it was just that I saw the crash window on the secondary display.",_No response_,[2025-06-03.txt](https://github.com/user-attachments/files/20591294/2025-06-03.txt),"Windows 11 Home - 10.0.26100 Build 26100
4.8.9032.0
UK English
Not sure as it is MS Store (so I presume user)
Unsure"
39901,Problem when trying to start YouTube video in Brave Beta browser,"Área: General. Problema: Problem when trying to start YouTube video in Brave Beta browser. Comportamiento: Screen goes black. Video sound continues to play but it is some seconds before picture emerges. Powertoys error message appears.. Pasos para reproducir: With Brave Beta already running, click on video to start it.",Reopening as we're still seeing reports :(,"Issue-Bug,Resolution-Duplicate",0.91.1.0,PowerToys auto-update,General,"With Brave Beta already running, click on video to start it.",Video should start to play,Screen goes black. Video sound continues to play but it is some seconds before picture emerges. Powertoys error message appears.,"Windows 11 Home version 24H2
Not running as Admin"
39894,Command Palette loader,"Área: Command Palette. Problema: Command Palette loader. Comportamiento: _No response_. Pasos para reproducir: starting windows

![Image](https://github.com/user-attachments/assets/98ef4a78-54d0-4586-b13b-d6fbc893020d)",This has been fixed in 0.91. You'll need to update to the latest version. ,"Issue-Bug,Needs-Triage,Product-Command Palette",v0.90.1,PowerToys auto-update,Command Palette,"starting windows

![Image](https://github.com/user-attachments/assets/98ef4a78-54d0-4586-b13b-d6fbc893020d)",_No response_,_No response_,_No response_
39884,PowerToys,"Área: ColorPicker. Problema: PowerToys. Comportamiento: Color Purple and the screen shrink. Pasos para reproducir: Version: 0.91.1.0
OS Version: Microsoft Windows NT 10.0.26100.0
IntPtr Length: 8
x64: True
Date: 03/06/2025 23:17:39
Exception:
System.Runtime.InteropServices.COMException (0x80263001): {Desktop composition is disabled} The operation could not be completed because desktop composition is disabled. (0x80263001)
   at Standard.NativeMethods.DwmExtendFrameIntoClientArea(IntPtr hwnd, MARGINS& pMarInset)
   at System.Windows.Appearance.WindowBackdropManager.UpdateGlassFrame(IntPtr hwnd, WindowBackdropType backdropType)
   at System.Windows.Appearance.WindowBackdropManager.ApplyBackdrop(IntPtr hwnd, WindowBackdropType backdropType)
   at System.Windows.Appearance.WindowBackdropManager.SetBackdrop(Window window, WindowBackdropType backdropType)
   at System.Windows.ThemeManager.ApplyStyleOnWindow(Window window, Boolean useLightColors)
   at System.Windows.ThemeManager.ApplyStyleOnWindow(Window window)
   at System.Windows.Window.CreateSourceWindow(Boolean duringShow)
   at System.Windows.Window.ShowHelper(Object booleanBox)
   at System.Windows.Window.Show()
   at PowerLauncher.Helper.ErrorReporting.Report(Exception e, Boolean waitForClose)
   at PowerLauncher.Helper.ErrorReporting.DispatcherUnhandledException(Object sender, DispatcherUnhandledExceptionEventArgs e)
   at System.Windows.Threading.Dispatcher.CatchException(Exception e)
   at System.Windows.Threading.ExceptionWrapper.TryCatchWhen(Object source, Delegate callback, Object args, Int32 numArgs, Delegate catchHandler)
   at System.Windows.Threading.Dispatcher.LegacyInvokeImpl(DispatcherPriority priority, TimeSpan timeout, Delegate method, Object args, Int32 numArgs)
   at MS.Win32.HwndSubclass.SubclassWndProc(IntPtr hwnd, Int32 msg, IntPtr wParam, IntPtr lParam)",Reopening as we're still seeing reports :(,"Issue-Bug,Resolution-Duplicate",0.91.1.0,PowerToys auto-update,ColorPicker,"Version: 0.91.1.0
OS Version: Microsoft Windows NT 10.0.26100.0
IntPtr Length: 8
x64: True
Date: 03/06/2025 23:17:39
Exception:
System.Runtime.InteropServices.COMException (0x80263001): {Desktop composition is disabled} The operation could not be completed because desktop composition is disabled. (0x80263001)
   at Standard.NativeMethods.DwmExtendFrameIntoClientArea(IntPtr hwnd, MARGINS& pMarInset)
   at System.Windows.Appearance.WindowBackdropManager.UpdateGlassFrame(IntPtr hwnd, WindowBackdropType backdropType)
   at System.Windows.Appearance.WindowBackdropManager.ApplyBackdrop(IntPtr hwnd, WindowBackdropType backdropType)
   at System.Windows.Appearance.WindowBackdropManager.SetBackdrop(Window window, WindowBackdropType backdropType)
   at System.Windows.ThemeManager.ApplyStyleOnWindow(Window window, Boolean useLightColors)
   at System.Windows.ThemeManager.ApplyStyleOnWindow(Window window)
   at System.Windows.Window.CreateSourceWindow(Boolean duringShow)
   at System.Windows.Window.ShowHelper(Object booleanBox)
   at System.Windows.Window.Show()
   at PowerLauncher.Helper.ErrorReporting.Report(Exception e, Boolean waitForClose)
   at PowerLauncher.Helper.ErrorReporting.DispatcherUnhandledException(Object sender, DispatcherUnhandledExceptionEventArgs e)
   at System.Windows.Threading.Dispatcher.CatchException(Exception e)
   at System.Windows.Threading.ExceptionWrapper.TryCatchWhen(Object source, Delegate callback, Object args, Int32 numArgs, Delegate catchHandler)
   at System.Windows.Threading.Dispatcher.LegacyInvokeImpl(DispatcherPriority priority, TimeSpan timeout, Delegate method, Object args, Int32 numArgs)
   at MS.Win32.HwndSubclass.SubclassWndProc(IntPtr hwnd, Int32 msg, IntPtr wParam, IntPtr lParam)",work normally,Color Purple and the screen shrink,"win 11 64 bit 24H2 
26100.4202"
39879,desktop composition is disabled.,"Área: Awake. Problema: desktop composition is disabled.. Comportamiento: screen freeze  and win is only on 1/4 from the screen and the color fade to Purple. Pasos para reproducir: Version: 0.91.0.0OS Version: Microsoft Windows NT 10.0.26100.0IntPtr Length: 8x64: TrueDate: 03/06/2025 10:04:56Exception:System.Runtime.InteropServices.COMException (0x80263001): {Desktop composition is disabled} The operation could not be completed because desktop composition is disabled. (0x80263001)   at Standard.NativeMethods.DwmExtendFrameIntoClientArea(IntPtr hwnd, MARGINS& pMarInset)   at System.Windows.Appearance.WindowBackdropManager.UpdateGlassFrame(IntPtr hwnd, WindowBackdropType backdropType)   at System.Windows.Appearance.WindowBackdropManager.ApplyBackdrop(IntPtr hwnd, WindowBackdropType backdropType)   at System.Windows.Appearance.WindowBackdropManager.SetBackdrop(Window window, WindowBackdropType backdropType)   at System.Windows.ThemeManager.ApplyStyleOnWindow(Window window, Boolean useLightColors)   at System.Windows.ThemeManager.OnSystemThemeChanged()   at System.Windows.SystemResources.SystemThemeFilterMessage(IntPtr hwnd, Int32 msg, IntPtr wParam, IntPtr lParam, Boolean& handled)   at MS.Win32.HwndWrapper.WndProc(IntPtr hwnd, Int32 msg, IntPtr wParam, IntPtr lParam, Boolean& handled)   at System.Windows.Threading.ExceptionWrapper.InternalRealCall(Delegate callback, Object args, Int32 numArgs)   at System.Windows.Threading.ExceptionWrapper.TryCatchWhen(Object source, Delegate callback, Object args, Int32 numArgs, Delegate catchHandler)",Reopening as we're still seeing reports :(,"Issue-Bug,Resolution-Duplicate",0.91.0.0,PowerToys auto-update,Awake,"Version: 0.91.0.0OS Version: Microsoft Windows NT 10.0.26100.0IntPtr Length: 8x64: TrueDate: 03/06/2025 10:04:56Exception:System.Runtime.InteropServices.COMException (0x80263001): {Desktop composition is disabled} The operation could not be completed because desktop composition is disabled. (0x80263001)   at Standard.NativeMethods.DwmExtendFrameIntoClientArea(IntPtr hwnd, MARGINS& pMarInset)   at System.Windows.Appearance.WindowBackdropManager.UpdateGlassFrame(IntPtr hwnd, WindowBackdropType backdropType)   at System.Windows.Appearance.WindowBackdropManager.ApplyBackdrop(IntPtr hwnd, WindowBackdropType backdropType)   at System.Windows.Appearance.WindowBackdropManager.SetBackdrop(Window window, WindowBackdropType backdropType)   at System.Windows.ThemeManager.ApplyStyleOnWindow(Window window, Boolean useLightColors)   at System.Windows.ThemeManager.OnSystemThemeChanged()   at System.Windows.SystemResources.SystemThemeFilterMessage(IntPtr hwnd, Int32 msg, IntPtr wParam, IntPtr lParam, Boolean& handled)   at MS.Win32.HwndWrapper.WndProc(IntPtr hwnd, Int32 msg, IntPtr wParam, IntPtr lParam, Boolean& handled)   at System.Windows.Threading.ExceptionWrapper.InternalRealCall(Delegate callback, Object args, Int32 numArgs)   at System.Windows.Threading.ExceptionWrapper.TryCatchWhen(Object source, Delegate callback, Object args, Int32 numArgs, Delegate catchHandler)",screen open normaly,screen freeze  and win is only on 1/4 from the screen and the color fade to Purple,_No response_
39867,> key is not present in key list when trying to remap keyboard shortcuts,"Área: Keyboard Manager. Problema: > key is not present in key list when trying to remap keyboard shortcuts. Comportamiento: Did not find the > key.. Pasos para reproducir: Select keyboard manager, then try to create a new keyboard shortcut, select alt(right) + ., then click on the drop down menu.",/dup https://github.com/microsoft/PowerToys/issues/36322,"Issue-Bug,Resolution-Duplicate,Product-Keyboard Shortcut Manager",v0.91.1,Microsoft Store,Keyboard Manager,"Select keyboard manager, then try to create a new keyboard shortcut, select alt(right) + ., then click on the drop down menu.",To find the > key.,Did not find the > key.,Windows 10 Home 64 bits
